from,to,weight
Platzeck,SPD,1
Platzeck,Politik,3
Pofalla,CDU,1
Pofalla,Politik,3
Pofalla,Industrie ,3
Praetorius,Wissenschaft,3
Tillich,CDU,1
Tillich,Politik,1
Hasselfeldt,CSU,1
Hasselfeldt,Poltik,3
Hasselfeldt,Verbans,3
Kampeter,Verband,3
Kampeter,CDU,1
Kampeter,Politik,2
Kapferer,Politik,1
Kapferer,Verband,3
Kempf,Verband,3
Nemat,Industrie,3
Reiche,CDU,1
Reiche,Politik,2
Reiche,Verband,3
Röstel,Industrie,3
Röstel,Energieunternehmen,3
Röstel,Gruene,1
Schweitzer,Politik,1
Schweitzer,Industrie,3
Schweitzer,Verband,3
Grothus,Regionalvertreter,3
Grothus,Umweltschutz,1
Wodtke,CDU,1
Wodtke,Regionalvertreter,2
Herntier,Industrie,1
Herntier,Politik,2
Kreuzberg,CDU ,1
Kreuzberg,Politik,1
Kreuzberg,Regionalvertreter,3
Priggen,Gruene ,1
Priggen,Poltik,1
Priggen,Regionalvertreter,3
Vassiliadis,Gewerkschaft,3
Vassiliadis,Politik,1
Vassiliadis,SPD,1
Scheidt,Gewerkschaft,3
Scheidt,SPD,1
Scheidt,Energieunternehmen,3
Scheidt,Politik,1
Körzell,Gewerkschaft,3
Körzell,SPD,1
Körzell,Politik,1
Kaiser,Umweltschutz,3
Weiger,Politik,3
Weiger,Umweltschutz,3
Niebert,Umweltschutz,3
Niebert,Wissenschaft,3
Allemendinger,Wissenschaft,3
Matthes,Wissenschaft,2
Schellnhuber,Wissenschaft,3
Niebuhr,Wissenschaft,2
Wehrspohn,Wissenschaft,3
Lämmel,Politik,2
Lämmel,CDU,1
Lenz,Politik,2
Lenz,CSU,1
Miersch,SPD,2
Miersch,Politik,1
